Length: 196, Average Loss: 0.8526, Std: 0.2676, Max Loss: 25.6580, Max Std: 16.5090, Samples: 5785
Length: 197, Average Loss: 0.8125, Std: 0.2015, Max Loss: 22.7551, Max Std: 11.8983, Samples: 6184
Length: 198, Average Loss: 0.8042, Std: 0.2091, Max Loss: 22.2124, Max Std: 11.2502, Samples: 5950
Length: 199, Average Loss: 0.7736, Std: 0.1725, Max Loss: 20.9652, Max Std: 9.1128, Samples: 6356
Length: 200, Average Loss: 0.8153, Std: 0.2526, Max Loss: 21.8682, Max Std: 11.4021, Samples: 12730
Length: 201, Average Loss: 0.8452, Std: 0.2312, Max Loss: 24.6381, Max Std: 14.5810, Samples: 5087
Length: 202, Average Loss: 0.7847, Std: 0.1821, Max Loss: 21.8797, Max Std: 10.5036, Samples: 6458
Length: 203, Average Loss: 0.7847, Std: 0.2003, Max Loss: 21.1978, Max Std: 9.5814, Samples: 4682
Length: 204, Average Loss: 0.8112, Std: 0.1868, Max Loss: 22.9129, Max Std: 11.6938, Samples: 5919
Length: 205, Average Loss: 0.8391, Std: 0.2330, Max Loss: 24.3204, Max Std: 13.7181, Samples: 6052
Length: 206, Average Loss: 0.8208, Std: 0.2062, Max Loss: 23.5221, Max Std: 12.7462, Samples: 6121
Length: 207, Average Loss: 0.8118, Std: 0.1808, Max Loss: 23.0052, Max Std: 10.8950, Samples: 5053
Length: 208, Average Loss: 0.8051, Std: 0.1946, Max Loss: 23.0222, Max Std: 11.4684, Samples: 6387
Length: 209, Average Loss: 0.8078, Std: 0.1652, Max Loss: 22.5135, Max Std: 10.0207, Samples: 5316
Length: 210, Average Loss: 0.8361, Std: 0.2294, Max Loss: 24.6902, Max Std: 14.1754, Samples: 4719
Length: 211, Average Loss: 0.8654, Std: 0.2039, Max Loss: 25.7581, Max Std: 14.4407, Samples: 4883
Length: 212, Average Loss: 0.8226, Std: 0.1923, Max Loss: 23.3380, Max Std: 11.8309, Samples: 6358
Length: 213, Average Loss: 0.8539, Std: 0.2130, Max Loss: 25.5167, Max Std: 14.2145, Samples: 6054
Length: 214, Average Loss: 0.7957, Std: 0.1915, Max Loss: 22.0098, Max Std: 9.2242, Samples: 5522
Length: 215, Average Loss: 0.8296, Std: 0.2093, Max Loss: 24.5015, Max Std: 15.6672, Samples: 4754
Length: 216, Average Loss: 0.8108, Std: 0.1945, Max Loss: 23.4396, Max Std: 12.1605, Samples: 4145
